state_ut,year,cases_pending_investigation_from_previous_year,cases_registered,total_cases_for_investigation,no_of_cases_investigated,cases_not_investigated_or_in_which_investigation_was_dropped_due_to_any_reason,cases_transferred_to_local_police,cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,cases_in_which_charge_sheets_were_laid,cases_pending_departmental_sanction_for_prosecution,cases_sent_up_for_trial_and_also_reported_for_departmental_action,cases_reported_for_regular_departmental_action,cases_reported_for_suitable_action,cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted,cases_pending_investigation_at_the_end_of_the_year,cases_resulted_in_recoveries_or_seizures,value_of_property_recovered_or_seized_in_rs,percentage_of_cases_charge_sheeted_to_total_cases_investigated,cases_pending_trial_from_the_previous_year,cases_sent_up_for_trial,total_cases_for_trial,cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused,cases_in_which_trials_were_completed,cases_convicted,cases_acquitted_or_discharged,cases_pending_trial_at_the_end_of_the_year,percentage_of_cases_convicted_to_cases_in_which_trials_were_completed,total_amount_of_fine_imposed_in_rs
Tripura,2006,4,4,8,8,0,0,2,2,0,0,0,0,0,4,0,0,0,2,2,4,0,0,0,0,4,0,0
Assam,2006,78,2,80,80,0,0,2,8,19,0,0,0,2,70,0,0,10,30,8,38,0,2,2,0,36,100,24000
Mizoram,2006,1,2,2,2,0,0,0,1,0,0,0,2,0,1,1,8000,50,1,1,1,0,0,0,0,1,0,0
Goa,2006,16,1,17,17,0,0,0,0,0,0,0,0,1,16,0,0,0,19,0,19,0,1,0,1,18,0,0
Manipur,2006,9,1,10,10,0,0,0,0,0,0,0,0,1,9,0,0,0,17,0,17,0,0,0,0,17,0,0
Meghalaya,2006,2,1,3,1,0,1,0,0,1,1,1,1,0,3,1,50000,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2006,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,1,0,2,0,2000
Daman & Diu,2006,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,2,0,0
Lakshadweep,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2006,25,0,25,25,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,25,0,0,0,0,25,0,0
Maharashtra,2007,682,451,1133,1133,0,1,4,326,227,0,20,0,43,801,192,11702425,0,2223,326,2549,13,365,90,275,2171,0,823100
Rajasthan,2007,873,350,1223,1223,0,0,0,269,262,292,292,0,125,836,219,1227600,0,1327,269,1596,0,159,56,101,1439,0,630400
Karnataka,2007,276,307,583,439,25,1,36,206,121,105,1,38,67,330,143,18445043,0,202,206,408,8,151,30,121,249,0,183500
Odisha,2007,384,286,670,670,0,0,0,253,62,152,86,6,28,389,58,72106819,0,2340,253,2593,17,95,37,58,2481,0,297700
Andhra Pradesh,2007,116,244,360,161,1,0,0,205,22,61,6,0,28,193,244,63301660,0,1060,205,1265,0,253,156,97,1012,0,288100
Haryana,2007,325,229,554,386,63,0,1,245,48,119,0,0,26,275,107,371500,0,630,245,875,6,139,34,105,730,0,200350
Tamil Nadu,2007,216,227,443,443,0,0,0,179,45,51,161,91,118,154,39,12677413,0,142,179,321,12,67,34,33,242,0,379000
Punjab,2007,476,189,665,231,12,2,9,198,147,198,0,3,31,434,67,2464753,0,1180,198,1378,13,192,60,132,1173,0,281200
Gujarat,2007,175,165,340,189,0,0,17,155,76,11,6,3,13,187,156,1216980,200,1178,155,1333,0,272,88,184,1061,81,684500
Bihar,2007,220,133,353,353,0,0,0,248,99,0,0,0,0,86,117,30347184,0,440,248,688,4,4,4,0,684,0,0
Uttar Pradesh,2007,115,129,244,244,0,0,0,126,43,55,1,0,5,88,0,0,0,360,126,486,1,15,1,15,470,0,0
Kerala,2007,521,128,649,649,0,0,29,118,24,4,19,4,40,476,8,0,0,481,118,599,6,68,47,21,529,0,2020200
Jammu & Kashmir,2007,119,81,200,111,0,0,24,89,51,0,1,0,53,89,27,69633814,0,343,89,432,1,39,4,35,392,0,36000
Himachal Pradesh,2007,245,66,315,315,0,0,32,57,23,8,4,4,40,209,18,687844,0,276,80,356,0,16,1,14,299,0,10000
Delhi,2007,152,51,203,60,13,0,0,47,21,24,40,0,13,145,34,94900,0,389,47,436,0,65,38,27,371,0,644500
Madhya Pradesh,2007,49,49,98,98,0,0,0,83,13,0,1,0,3,57,2,1237555,0,396,83,479,6,129,85,44,344,66,1151343
Chhattisgarh,2007,88,20,108,93,0,0,0,7,28,0,0,0,5,95,19,1784300,0,134,7,141,0,12,4,8,129,0,20000
Sikkim,2007,30,18,48,48,0,0,0,9,0,0,4,0,6,33,2,797927,0,25,9,34,0,7,5,2,27,0,35500
Jharkhand,2007,97,16,113,113,0,0,2,20,13,22,14,20,2,91,14,143000,90,168,22,192,0,0,0,0,192,0,0
Chandigarh,2007,23,8,31,31,1,0,1,9,0,0,0,0,0,26,0,0,0,24,9,33,0,8,3,5,25,0,0
Puducherry,2007,3,6,9,9,0,0,0,0,0,0,0,0,0,9,0,0,0,8,0,8,0,1,1,0,7,0,55000
Andaman & Nicobar Islands,2007,9,5,14,14,0,0,0,1,0,0,0,0,1,12,0,0,0,7,1,8,0,0,0,0,8,0,0
Mizoram,2007,4,4,12,12,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,2007,27,4,31,12,0,0,0,12,0,0,0,0,0,19,0,0,0,17,12,29,0,1,0,1,28,0,0
Manipur,2007,9,3,12,12,0,0,0,4,0,0,0,0,0,8,0,0,0,17,4,21,0,0,0,0,21,0,0
Meghalaya,2007,3,2,5,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,2007,9,2,11,11,0,0,0,1,2,1,1,0,0,10,3,8100000,50,2,1,3,0,1,0,0,0,0,0
West Bengal,2007,4,2,6,6,0,0,2,1,2,1,0,1,0,3,0,0,16.6,20,1,21,0,13,0,13,8,0,0
Assam,2007,80,1,81,81,0,0,1,2,19,0,0,0,1,80,0,0,0,38,2,40,0,3,3,1,38,0,15500
Goa,2007,16,1,17,17,0,0,0,0,0,0,0,0,1,16,0,0,0,18,0,18,0,3,0,3,15,0,0
Tripura,2007,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,4,0,0
Arunachal Pradesh,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
Daman & Diu,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
Lakshadweep,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,2008,801,390,1191,1191,0,0,2,368,261,0,6,0,33,814,139,3240955,0,2171,368,2539,3,494,116,378,2042,0,840350
Karnataka,2008,330,389,719,719,10,12,32,164,119,81,4,81,70,623,370,59166948,22.9,805,164,969,3,122,17,105,844,13.1,281391
Andhra Pradesh,2008,193,330,523,249,2,0,0,132,18,158,9,0,18,280,234,2915830,0,1012,132,1144,5,174,118,56,965,0,440750
Rajasthan,2008,836,327,1163,1163,0,0,0,373,260,158,158,0,71,719,227,2754840,0,1439,355,1794,6,118,52,66,1670,0,476200
Tamil Nadu,2008,154,323,477,477,0,0,0,160,55,57,115,111,141,347,108,14083601,0,242,160,402,9,85,46,39,308,0,373000
Odisha,2008,389,303,692,692,0,0,7,210,114,72,36,22,28,536,47,98482855,30,2481,210,2691,17,133,54,79,2541,41,3311800
Haryana,2008,275,226,501,379,50,0,0,246,60,119,0,0,33,228,107,448600,0,730,246,976,10,195,37,158,771,0,144750
Punjab,2008,434,196,630,178,15,3,6,125,135,71,0,6,50,452,53,411635,0,1173,125,1298,3,178,55,123,1117,0,364400
Gujarat,2008,187,186,373,190,3,0,9,183,83,17,11,4,18,187,182,1928557,0,1061,183,1244,6,177,62,115,1061,0,479000
Kerala,2008,476,149,625,625,0,1,37,108,32,12,22,0,59,423,6,0,0,529,108,637,8,35,25,10,594,0,1380000
Bihar,2008,86,116,202,202,1,0,0,88,70,0,0,0,0,129,80,8679253,0,684,88,772,0,9,8,1,763,0,23000
Himachal Pradesh,2008,227,95,322,322,0,0,11,59,26,8,0,0,27,242,35,4130433,0,267,59,373,2,42,12,30,329,0,77000
Uttar Pradesh,2008,88,85,173,173,0,0,0,94,28,56,0,0,18,84,0,0,0,470,94,564,0,16,3,13,548,0,0
Jammu & Kashmir,2008,89,52,141,57,0,0,10,62,31,0,2,0,34,84,9,800247,0,392,62,454,1,25,69,19,428,0,260675
Delhi,2008,145,45,190,76,30,0,0,46,23,13,33,0,30,124,13,114500,0,371,46,417,3,66,51,15,348,0,463000
Madhya Pradesh,2008,57,41,98,98,0,0,0,42,10,0,0,0,3,84,5,27568478,0,344,42,386,2,134,53,81,250,52.4,5660951
Chhattisgarh,2008,95,27,122,119,0,0,0,18,40,0,0,0,6,85,27,126900,0,129,18,147,1,28,9,19,118,0,32300
Jharkhand,2008,97,27,124,124,0,0,0,33,17,23,22,33,2,97,24,365000,26.6,38,24,62,1,0,0,0,272,0,0
Sikkim,2008,33,22,55,55,0,0,0,2,0,0,4,0,3,50,1,568430,0,27,2,29,1,6,3,3,22,0,9000
Chandigarh,2008,26,11,37,37,0,0,0,8,0,0,0,0,0,29,0,0,0,25,8,33,0,4,3,1,29,0,0
Nagaland,2008,10,7,17,17,0,0,0,1,3,3,3,5,0,16,3,22739000,0,0,1,14,0,2,1,1,6,0,0
Puducherry,2008,9,5,14,14,1,0,0,8,0,0,0,0,0,5,0,0,0,7,8,15,0,0,0,0,15,0,0
Andaman & Nicobar Islands,2008,12,4,16,16,0,0,0,2,0,0,0,0,2,12,0,0,0,8,2,10,0,0,0,0,10,0,0
Manipur,2008,8,4,12,12,0,0,0,0,2,0,0,0,0,12,0,0,0,21,0,21,0,1,0,1,20,0,0
Mizoram,2008,4,4,8,2,0,1,0,1,0,1,0,0,1,4,1,2320020,0,1,1,2,0,0,0,0,2,0,0
Uttarakhand,2008,19,3,22,3,0,0,0,3,0,0,0,0,0,19,0,0,0,28,3,31,0,1,0,1,30,0,0
Tripura,2008,0,2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,5,0,1,0,1,4,0,0
Goa,2008,16,1,17,17,0,0,0,1,0,0,0,0,0,16,0,0,0,15,1,16,0,1,0,1,15,0,0
Meghalaya,2008,2,1,3,1,0,0,0,0,0,0,0,0,0,3,1,3321000,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,2008,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2008,80,0,80,80,0,0,3,3,16,0,0,0,3,74,0,0,37,3,40,0,2,2,0,38,0,2000,0
Dadra & Nagar Haveli,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
Daman & Diu,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
Lakshadweep,2008,2,0,2,2,0,0,0,2,0,2,0,0,2,0,0,0,0,3,2,5,0,0,0,0,5,0,0
West Bengal,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,2009,347,498,845,845,0,0,0,156,90,67,115,19,243,492,182,10466646,0,308,156,464,13,52,26,26,399,0,149300
Maharashtra,2009,814,414,1228,1228,2,0,6,485,218,0,13,0,22,724,149,2922090,0,2042,485,2527,12,473,106,367,2042,0,727950
Karnataka,2009,623,395,1018,1018,0,0,29,294,182,160,12,37,70,696,154,25136051,29,844,294,1138,10,153,27,116,985,18.8,206000
Odisha,2009,536,375,911,911,0,0,29,229,120,133,36,5,5,656,161,20247272,0,2541,229,2770,18,129,68,81,2523,0,2538400
Rajasthan,2009,719,336,1055,1055,0,0,0,230,236,111,111,44,85,740,228,1224030,0,1670,230,1893,8,68,23,45,1817,0,397300
Andhra Pradesh,2009,280,322,602,306,4,0,0,210,38,200,9,0,38,293,238,3019800,0,965,210,1175,2,151,92,59,1022,0,440750
Kerala,2009,423,198,621,621,0,0,18,84,24,5,18,2,19,508,4,0,0,809,84,893,6,62,48,14,827,0,9153000
Gujarat,2009,187,183,370,215,0,0,19,196,76,22,23,16,19,175,181,11013548,0,1061,196,1257,3,147,53,94,1107,0,0
Himachal Pradesh,2009,242,163,405,405,0,0,4,93,25,9,0,0,13,296,30,8047592,0,329,93,422,0,49,9,40,373,0,318000
Punjab,2009,452,162,614,245,12,3,15,168,125,52,0,22,74,369,46,651975,0,1117,168,1285,11,362,117,245,912,0,547800
Bihar,2009,129,129,258,258,0,0,0,114,98,0,0,0,0,175,97,78855653,0,763,114,877,2,5,3,2,870,50,12000
Haryana,2009,233,128,359,283,0,0,9,133,14,55,0,0,26,196,30,165100,0,779,150,929,3,325,66,234,656,0,736750
Madhya Pradesh,2009,84,100,184,184,0,0,0,48,13,0,0,0,1,132,15,22810819,0,250,48,298,3,39,26,13,256,66.6,1371500
Jammu & Kashmir,2009,185,61,246,89,0,0,6,40,36,0,1,32,32,157,30,110070,0,428,40,468,3,34,11,23,431,0,1285000
Chhattisgarh,2009,85,49,134,131,0,0,0,31,22,0,0,0,5,116,49,1508500,0,118,31,149,2,16,3,13,131,0,15000
Uttar Pradesh,2009,84,48,132,132,0,0,0,51,23,23,0,0,5,91,0,0,0,548,51,599,0,13,6,7,586,0,0
Delhi,2009,124,45,169,25,4,0,0,21,14,3,21,0,4,154,23,120400,0,348,21,369,1,63,44,19,305,0,6150000
Jharkhand,2009,97,27,124,124,0,0,0,33,17,23,22,33,2,97,24,365000,26.6,38,24,62,1,0,0,0,272,0,0
Nagaland,2009,26,9,35,35,1,0,0,7,3,0,0,2,0,13,2,28695375,0,8,7,15,0,1,12,2,8,0,0
Chandigarh,2009,29,8,37,2,0,0,16,2,0,0,0,2,17,17,0,0,0,30,16,46,0,9,4,5,37,0,0
Sikkim,2009,50,8,58,58,0,0,0,4,0,0,2,0,6,48,0,0,0,22,4,26,0,0,0,0,26,0,0
Arunachal Pradesh,2009,3,7,10,10,0,0,0,2,1,2,0,0,1,7,0,0,0,0,2,2,0,0,0,0,2,0,0
Mizoram,2009,4,6,10,2,0,0,0,2,0,1,0,0,0,8,1,6153365,100,2,2,4,0,0,0,0,4,0,0
Puducherry,2009,18,4,22,22,0,0,0,1,2,0,0,0,0,21,0,0,0,26,1,27,1,1,0,1,25,0,0
Assam,2009,74,3,77,77,0,0,3,3,12,3,0,0,3,71,0,0,0,38,3,41,0,3,1,2,38,0,5000
Andaman & Nicobar Islands,2009,12,2,14,14,0,1,1,1,1,0,0,0,1,11,0,0,7.1,10,1,11,0,0,0,0,11,0,0
Uttarakhand,2009,19,2,21,7,0,0,0,7,0,0,0,0,0,14,0,0,0,30,7,37,0,1,1,0,36,0,0
Tripura,2009,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,5,0,1,0,1,4,0,0
Dadra & Nagar Haveli,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
Daman & Diu,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0
Goa,2009,5,0,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,1,0,0
Lakshadweep,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,2009,12,0,12,12,0,0,0,2,0,0,0,0,1,9,0,0,21,2,23,0,0,0,0,0,23,0,0
Meghalaya,2009,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,2010,740,576,1316,1316,0,0,0,281,196,126,126,48,70,965,225,1481450,0,1817,281,2098,8,57,11,46,2033,0,33750
Maharashtra,2010,724,528,1252,1252,2,0,4,446,250,1,37,0,26,780,155,28841870,0,2042,446,2488,5,366,68,298,2117,0,383000
Karnataka,2010,696,434,1130,1124,0,6,52,322,190,204,30,78,129,720,295,21189878,27.5,984,322,1307,14,202,63,139,1105,31.2,3786500
Odisha,2010,656,430,1086,1086,0,0,3,320,136,214,118,50,14,776,221,25527811,0,2623,320,2943,17,199,76,123,2727,0,637000
Tamil Nadu,2010,492,354,846,846,0,0,0,258,91,73,100,151,167,390,166,3506607,0,399,258,657,15,65,24,41,577,0,157650
Andhra Pradesh,2010,293,272,565,261,1,1,0,211,19,184,10,0,19,305,259,83948386,0,1022,211,1233,11,141,90,51,1081,0,324700
Gujarat,2010,175,223,398,223,0,0,22,200,50,16,16,11,4,192,217,24529359,0,1107,200,1307,6,174,45,129,1127,0,470000
Kerala,2010,538,181,719,719,1,1,46,81,34,19,12,5,36,520,8,0,0,827,81,908,0,42,30,12,794,71.4,3644800
Himachal Pradesh,2010,296,110,406,406,0,0,7,139,25,0,0,0,21,259,64,20280810,0,373,139,512,8,62,10,52,442,0,268500
Madhya Pradesh,2010,132,107,239,239,0,0,0,78,12,0,0,0,4,145,25,25659477,0,256,78,334,4,45,17,24,289,45.9,5071000
Punjab,2010,369,107,476,264,12,2,13,182,76,53,0,15,79,210,33,371810,0,912,182,1094,8,277,89,188,809,0,596600
Bihar,2010,175,99,274,274,3,0,0,99,97,0,0,0,0,185,74,35216711,0,870,99,969,1,12,10,2,956,90,593200
Haryana,2010,196,79,275,204,0,5,4,99,34,31,0,0,19,184,29,97000,0,656,99,755,5,226,72,154,524,0,458800
Jharkhand,2010,64,71,135,41,0,0,0,41,0,0,0,0,0,94,41,4154001,0,48,93,71,0,0,1,1,48,0,0
Jammu & Kashmir,2010,157,70,227,73,2,0,6,58,31,0,3,0,24,154,22,586120,0,431,58,489,3,15,4,11,470,0,72000
Chhattisgarh,2010,116,49,165,152,0,0,0,24,27,0,0,0,4,132,48,24154236,0,131,24,155,3,8,4,4,144,0,11000
Delhi,2010,154,39,193,17,6,0,0,11,22,5,24,0,6,176,17,130000,0,305,11,316,2,91,53,38,223,0,1217000
Uttar Pradesh,2010,91,30,121,121,0,0,0,51,43,43,0,0,18,125,0,0,0,586,51,637,0,89,67,22,548,0,0
Nagaland,2010,32,23,55,55,1,0,0,3,2,2,0,2,8,20,1,132000,0,8,3,11,2,1,0,1,8,0,0
Mizoram,2010,8,9,17,13,4,0,0,3,2,1,1,3,1,9,0,48042484,18,4,3,7,0,2,0,2,5,0,0
Sikkim,2010,48,9,57,57,0,0,0,5,0,0,2,0,7,45,0,0,0,26,5,31,0,1,0,1,30,0,0
Assam,2010,71,5,76,76,0,0,6,6,11,0,0,0,6,64,0,0,50,38,6,44,0,4,2,2,40,50,30000
Lakshadweep,2010,0,5,5,5,0,0,0,0,2,3,0,0,2,3,0,0,0,4,0,4,0,1,0,1,3,0,0
Andaman & Nicobar Islands,2010,11,4,15,15,0,0,2,2,1,1,0,0,2,11,0,0,13.3,11,2,12,0,0,0,0,12,0,0
Chandigarh,2010,17,3,20,20,0,0,0,5,4,0,0,0,2,14,1,44200,0,37,5,42,0,9,6,3,33,0,0
Puducherry,2010,21,3,24,24,0,0,0,2,3,0,0,0,0,22,0,0,0,25,2,27,1,2,1,1,24,0,0
Goa,2010,11,1,12,11,0,0,0,0,0,0,0,0,1,11,0,0,0,13,0,13,0,1,0,1,12,0,0
Manipur,2010,23,1,24,24,0,0,0,1,0,0,3,1,1,24,1,2257306,0,23,8,24,0,0,0,0,24,0,0
Arunachal Pradesh,2010,7,0,7,7,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,2,0,0,0,0,2,0,0
Dadra & Nagar Haveli,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0
Daman & Diu,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
Meghalaya,2010,3,0,3,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0
Tripura,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,1,0,0
Uttarakhand,2010,14,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,36,0,36,0,2,2,0,34,0,0
West Bengal,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
